Nodes,GPUs,size(MB),iterations,blocking,out algbw(GB/s),out busbw(GB/s),in algbw(GB/s),in busbw(GB/s)
2,16,32,1000,false,78.57,147.32,78.52,147.22
2,16,64,1000,false,110.40,207.00,120.51,225.95
2,16,128,1000,false,162.74,305.13,160.16,300.29
2,16,256,1000,false,194.38,364.46,195.12,365.84
2,16,512,1000,false,211.20,395.99,211.61,396.78
2,16,1024,1000,false,232.08,435.14,232.55,436.04
2,16,2048,1000,false,237.36,445.05,237.14,444.64
2,16,4096,1000,false,248.43,465.81,248.29,465.55
2,16,8192,1000,false,254.78,477.71,254.76,477.68
4,32,32,1000,false,49.23,95.38,51.71,100.19
4,32,64,1000,false,78.66,152.41,78.78,152.63
4,32,128,1000,false,118.44,229.48,118.63,229.85
4,32,256,1000,false,141.08,273.34,141.48,274.12
4,32,512,1000,false,143.70,278.41,143.83,278.68
4,32,1024,1000,false,144.67,280.30,144.65,280.27
4,32,2048,1000,false,179.39,347.57,179.38,347.56
4,32,4096,1000,false,182.94,354.45,182.84,354.24
4,32,8192,1000,false,184.25,356.99,184.30,357.08
